LaneID,public_name,GPSC,In_Silico_St,CC,Aroe,Xpt,Ddl,Gdh,Gki,Recp,Spi,goeBURST,cgMLST,HierCC,LIN_barcode,LIN_Lineage,GPSC__colour,CC__Colour,HC__Colour
28420_2#156,802,81,12201,344,8,702,53,37,9,29,2,25,20372,481,NA,None,#c942b0,#228600,#285e16
28420_3#83,828,235,4040,63,2,49,14,5,36,28,17,1,20578,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#299,902,81,344,344,8,12,53,37,9,29,2,25,20478,481,NA,None,#c942b0,#228600,#285e16
28420_2#354,920,83,260,260,26,16,19,9,15,14,9,310,20514,563,NA,None,#d975e2,#0046c7,#6039bd
28420_3#192,941,689,11982,11982,8,103,59,505,508,327,491,309,20564,11613,NA,None,#c7a9ed,#a5d632,#78ce39
28420_2#330,981,235,4040,63,2,49,14,5,36,28,17,1,20497,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#327,1014,117,11756,11756,12,379,9,460,261,5,466,184,20495,3206,NA,None,#b1b26c,#a8ce21,#67d045
28420_3#143,1015,117,11756,11756,12,379,9,460,261,5,466,184,20554,3206,NA,None,#b1b26c,#a8ce21,#67d045
28420_3#67,1020,235,4040,63,2,49,14,5,36,28,17,1,20575,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#256,1063,81,344,344,8,12,53,37,9,29,2,25,20446,481,NA,None,#c942b0,#228600,#285e16
28420_3#168,1145,81,344,344,8,12,53,37,9,29,2,25,20559,481,NA,None,#c942b0,#228600,#285e16
28420_2#217,1152,235,4040,63,2,49,14,5,36,28,17,1,20418,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#280,1233,984,16699,16699,12,12,41,5,5,154,17,515,20464,20877,NA,None,NA,#3549cd,#793bc1
28420_2#277,1259,235,10967,63,2,49,14,5,36,1,17,1,20462,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#201,1294,81,12201,344,8,702,53,37,9,29,2,25,20405,481,NA,None,#c942b0,#228600,#285e16
28420_2#209,1299,689,11982,11982,8,103,59,505,508,327,491,309,20411,11613,NA,None,#c7a9ed,#a5d632,#78ce39
28420_2#236,1316,522,7321,7321,5,1,29,6,1,47,6,516,20432,12,NA,None,#4457ca,#95ce2a,#69df5d
28420_3#151,1330,81,344,344,8,12,53,37,9,29,2,25,20555,481,NA,None,#c942b0,#228600,#285e16
28420_2#233,1332,235,4040,63,2,49,14,5,36,28,17,1,20430,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#173,1364,235,4040,63,2,49,14,5,36,28,17,1,20385,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#212,1376,235,10967,63,2,49,14,5,36,1,17,1,20414,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#143,1391,81,16696,344,8,12,53,37,1,29,2,25,20363,481,NA,None,#c942b0,#228600,#285e16
28420_3#164,1393,81,16696,344,8,12,53,37,1,29,2,25,20558,481,NA,None,#c942b0,#228600,#285e16
28420_3#91,1463,235,4040,63,2,49,14,5,36,28,17,1,20580,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#351,1535,235,10967,63,2,49,14,5,36,1,17,1,20512,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#2,1536,235,10967,63,2,49,14,5,36,1,17,1,20565,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#75,1538,861,15730,15892,1,28,245,596,4,1,2,49,20577,17315,NA,None,#c4008a,#5743c8,#a531b8
28420_2#188,1590,9,4593,63,2,21,14,5,36,12,36,1,20396,2,NA,None,#4c71e1,#d575ff,#fa77fa
28420_2#283,1697,60,448,448,8,11,71,5,2,27,2,79,20467,995,NA,None,#f93254,#2745c8,#9a25ae
28420_2#165,1700,235,4040,63,2,49,14,5,36,28,17,1,20379,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#184,1708,985,3036,63,2,21,31,5,36,12,17,1,20393,2,NA,None,NA,#d575ff,#fa77fa
28420_3#184,1714,9,8019,63,2,12,14,5,36,12,17,1,20563,2,NA,None,#4c71e1,#d575ff,#fa77fa
28420_3#115,1716,81,344,344,8,12,53,37,9,29,2,25,20548,481,NA,None,#c942b0,#228600,#285e16
28420_3#131,1721,123,447,447,29,22,31,33,19,1,36,168,20550,1216,NA,None,#9f5e21,#92d233,#24b537
28420_2#136,1735,235,17035,63,2,996,14,5,36,1,17,1,20358,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#151,1758,123,447,447,29,22,31,33,19,1,36,168,20368,1216,NA,None,#9f5e21,#92d233,#24b537
28420_3#42,1762,944,17042,17042,5,1,269,5,770,47,36,517,20571,20970,NA,None,NA,#623dc2,#019a11
28420_2#196,1782,123,17037,447,29,22,31,33,771,1,36,168,20401,1216,NA,None,#9f5e21,#92d233,#24b537
28420_2#220,1783,81,12201,344,8,702,53,37,9,29,2,25,20420,481,NA,None,#c942b0,#228600,#285e16
28420_2#346,1845,983,16701,16701,8,3,9,5,4,5,7,518,20508,3199,NA,None,NA,#88cf33,#ad25ae
28420_2#335,1885,235,4040,63,2,49,14,5,36,28,17,1,20501,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#139,1949,26,989,989,12,112,14,5,89,8,6,17,20552,15,NA,None,#b4ba5c,#6437bb,#37e276
28420_3#172,1955,26,989,989,12,112,14,5,89,8,6,17,20560,15,NA,None,#b4ba5c,#6437bb,#37e276
28420_2#244,1957,26,989,989,12,112,14,5,89,8,6,17,20438,15,NA,None,#b4ba5c,#6437bb,#37e276
28420_2#176,1968,986,16697,16697,7,122,28,25,382,1,36,519,20387,3427,NA,None,NA,#5cd44f,#b11aa6
28420_3#180,2010,26,989,989,12,112,14,5,89,8,6,17,20562,15,NA,None,#b4ba5c,#6437bb,#37e276
28420_3#135,2011,235,10967,63,2,49,14,5,36,1,17,1,20551,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#6,2110,5,16706,10899,7,12,59,103,8,6,7,349,20573,8,NA,None,#9c34b3,#861aa5,#8435bb
28420_2#338,2142,235,4040,63,2,49,14,5,36,28,17,1,20503,2,NA,None,#de7265,#d575ff,#fa77fa
28420_2#314,2192,117,11756,11756,12,379,9,460,261,5,466,184,20487,3206,NA,None,#b1b26c,#a8ce21,#67d045
28420_3#176,2200,117,11756,11756,12,379,9,460,261,5,466,184,20561,3206,NA,None,#b1b26c,#a8ce21,#67d045
28420_2#379,2267,235,17040,63,2,49,14,5,772,28,17,1,20530,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#10,2367,689,11982,11982,8,103,59,505,508,327,491,309,20546,11613,NA,None,#c7a9ed,#a5d632,#78ce39
28420_3#62,2370,522,7321,7321,5,1,29,6,1,47,6,516,20574,12,NA,None,#4457ca,#95ce2a,#69df5d
28420_3#58,2373,235,4040,63,2,49,14,5,36,28,17,1,20572,2,NA,None,#de7265,#d575ff,#fa77fa
28420_3#95,2387,123,447,447,29,22,31,33,19,1,36,168,20581,1216,NA,None,#9f5e21,#92d233,#24b537
28420_3#26,2403,123,447,447,29,22,31,33,19,1,36,168,20568,1216,NA,None,#9f5e21,#92d233,#24b537
12378_2#20,3986,13,2285,2285,7,20,28,9,4,13,15,6,1398,85,0_21_0_26_0_1_0_0_0_0_0,0_21_0,#bc5fd1,#2ce170,#31b12d
12290_2#40,4519,268,705,705,7,20,1,8,4,53,67,387,840,843,0_391_0_0_0_0_0_0_0_0_0,0_391_0,#af3676,#8e1aa6,#9d52da
9789_2#30,1003082,20,802,802,10,38,31,13,53,1,72,38,25236,16,0_197_0_2_0_0_0_0_0_0_0,0_197_0,#81be6d,#42de67,#6bbd23
9789_2#50,1004168,2,217,217,10,19,9,18,4,1,7,11,25253,25,0_0_0_13_0_0_49_0_0_0_0,0_0_0,#8da9ac,#8220a8,#4948cc
9789_2#79,1005015,8,289,289,16,33,33,12,9,1,41,28,25275,1,NA,None,#8ea91e,#51d656,#8ec51d
9789_2#34,1005787,8,289,289,16,33,33,12,9,1,41,28,25239,1,0_145_2_4_7_0_0_0_1_4_0,0_145_2,#8ea91e,#51d656,#8ec51d
9789_2#38,1005792,176,9491,9491,6,79,190,301,54,10,7,236,25243,863,0_121_0_0_0_0_0_0_1_0_0,0_121_0,#e588a8,#7030b5,#2d59df
9789_2#17,1007130,2,9529,217,10,83,9,18,4,1,7,11,25222,25,0_0_0_13_14_0_0_0_0_0_0,0_0_0,#8da9ac,#8220a8,#4948cc
9789_2#2,1007374,8,289,289,16,33,33,12,9,1,41,28,25224,1,0_145_2_4_7_0_0_0_1_7_0,0_145_2,#8ea91e,#51d656,#8ec51d
9950_1#59,2003000312,326,9556,3617,16,14,6,8,46,1,6,311,25542,945,0_328_0_2_2_0_0_0_0_0_0,0_328_0,#59a9dc,#7fcb31,#c3cf1e
9950_1#53,2008008613,27,695,899,16,113,18,13,4,4,6,75,25537,34,NA,None,#b88ae6,#7938be,#4956dc
11657_4#62,2008227074,16,66,66,2,1,1,8,2,4,6,26,256,5,0_15_0_8_114_0_0_0_0_0_0,0_15_0,#3d9945,#5cc73c,#98c61a
13710_2#72,2008237882,27,695,899,16,113,18,13,4,4,6,75,3043,34,0_118_0_0_2_0_15_0_0_0_0,0_118_0,#b88ae6,#7938be,#4956dc
12291_4#64,2009203268,27,899,899,16,10,18,13,4,4,6,75,1161,34,0_118_0_0_9_1_0_0_0_0_0,0_118_0,#b88ae6,#7938be,#4956dc
12299_1#80,2009203274,1,12706,320,15,20,820,5,19,15,6,2,1383,6,0_58_0_12_223_0_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12299_1#81,2009203511,15,191,191,8,1,17,9,2,1,6,76,1384,101,0_237_0_0_1_12_2_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_4#65,2009203513,1,320,320,4,20,1,16,19,15,6,2,1162,6,0_58_0_12_321_0_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_4#66,2009205599,1,320,320,4,20,1,16,19,15,6,2,1163,6,0_58_0_12_124_1_85_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_4#67,2009205600,3,100,100,5,39,18,12,29,12,9,129,1164,63,NA,None,#8854d2,#6349cf,#5b6df8
12291_5#54,2009206427,15,191,191,8,1,17,9,2,1,6,76,1212,101,0_237_0_0_10_20_1_0_2_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#55,2009206428,12,180,180,7,1,22,15,2,10,6,44,1213,117,0_232_1_2_147_0_0_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
11511_8#34,2009206439,3,100,100,5,39,18,12,29,12,9,129,116,63,0_75_0_3_65_0_0_0_0_0_0,0_75_0,#8854d2,#6349cf,#5b6df8
12291_5#56,2009206447,59,558,558,18,77,97,12,4,44,14,91,1214,1239,0_99_0_1_111_0_0_0_0_0_0,0_99_0,#008982,#4a56dd,#3e65ed
12291_4#69,2009207277,1,320,320,4,20,1,16,19,15,6,2,1165,6,0_58_0_12_307_0_1_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_5#48,2009208012,124,1257,235,15,1,31,13,8,18,15,130,1206,1231,0_110_0_1_4_1_0_0_0_0_0,0_110_0,#df8ea5,#aec811,#d3cb18
13414_1#38,2009208021,4,199,199,8,4,14,13,14,4,17,13,2055,73,0_15_4_0_423_0_0_0_0_0_0,0_15_4,#0094df,#2356db,#0170f7
12291_5#51,2009208555,15,191,191,8,1,17,9,2,1,6,76,1209,101,0_237_0_0_10_22_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11658_8#3,2009209140,3,2705,2705,5,39,1,12,29,16,9,520,483,63,0_75_0_3_30_0_4_1_0_0_0,0_75_0,#8854d2,#b7c605,#5b6df8
11657_8#4,2009209148,1,320,320,4,20,1,16,19,15,6,2,308,6,0_58_0_12_124_1_123_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_5#52,2009209281,36,816,97,5,1,27,40,4,19,10,29,1210,832,0_154_0_5_21_6_0_0_0_0_0,0_154_0,#68c6a5,#305ce3,#dac402
12291_5#53,2009209482,15,191,191,8,1,17,9,2,1,6,76,1211,101,0_237_0_0_10_25_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11658_2#74,2009209868,1,1451,320,10,20,1,16,19,15,6,2,457,6,0_58_0_12_144_1_1_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_5#70,2009209909,36,12705,97,5,1,27,553,4,19,10,29,1227,832,0_154_0_5_36_0_0_0_0_0_0,0_154_0,#68c6a5,#305ce3,#dac402
12291_5#71,2009209970,19,433,433,1,58,17,1,4,1,18,36,1228,56,0_265_0_0_64_13_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11658_2#96,2009210231,15,191,191,8,1,17,9,2,1,6,76,473,101,0_237_0_0_2_5_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11657_4#27,2009210864,1,320,320,4,20,1,16,19,15,6,2,231,6,0_58_0_12_124_1_93_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11657_8#5,2009210875,15,191,191,8,1,17,9,2,1,6,76,315,101,0_237_0_0_10_20_1_0_3_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11511_8#27,2009210878,19,433,433,1,58,17,1,4,1,18,36,111,56,0_265_0_0_64_30_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11657_4#30,2009210885,1,1451,320,10,20,1,16,19,15,6,2,232,6,NA,None,#4867aa,#6f3bc0,#6054db
11658_2#85,2009210907,11,3689,193,8,26,14,10,2,16,1,15,464,49,0_10_0_3_0_1_0_0_0_0_0,0_10_0,#5d4dae,#0067ef,#58b118
11893_8#14,2009210908,97,1339,1339,6,72,14,11,1,67,15,109,719,58,0_22_6_2_1_1_0_0_0_0_0,0_22_6,#3fc6d2,#c9c604,#9a67f2
11511_8#29,2009210924,19,433,433,1,58,17,1,4,1,18,36,112,56,0_265_0_0_35_22_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11511_8#30,2009210929,38,393,393,10,49,6,43,41,18,13,52,113,113,0_195_0_0_1_4_2_0_1_0_0,0_195_0,#2c7040,#0672fb,#3da204
11893_8#15,2009210936,1,320,320,4,20,1,16,19,15,6,2,720,6,0_58_0_12_124_1_48_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11657_8#17,2009210937,4,667,199,8,4,14,13,14,4,14,13,288,73,0_15_4_0_365_0_0_0_1_0_0,0_15_4,#0094df,#2356db,#0170f7
12291_5#72,2009211070,15,191,191,8,1,17,9,2,1,6,76,1229,101,0_237_0_0_84_0_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#73,2009211080,15,191,191,8,1,17,9,2,1,6,76,1230,101,0_237_0_0_14_0_1_1_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11657_4#36,2009211089,27,695,899,16,113,18,13,4,4,6,75,233,34,0_118_0_0_2_0_0_2_0_0_0,0_118_0,#b88ae6,#7938be,#4956dc
11658_2#72,2009211095,1,320,320,4,20,1,16,19,15,6,2,456,6,0_58_0_12_124_1_77_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_5#68,2009211096,49,392,392,7,31,14,5,1,1,6,32,1225,467,0_68_0_4_53_0_0_0_0_0_0,0_68_0,#958031,#d8c80c,#9a5ce5
11511_8#46,2009211109,27,695,899,16,113,18,13,4,4,6,75,125,34,0_118_0_0_2_0_14_0_0_0_0,0_118_0,#b88ae6,#7938be,#4956dc
11511_8#47,2009211113,98,1480,404,7,1,70,9,15,11,93,169,126,126,0_370_0_5_9_0_0_0_0_0_0,0_370_0,#de443f,#3870fa,#49ba32
11658_2#68,2009211142,15,191,191,8,1,17,9,2,1,6,76,453,101,0_237_0_0_10_3_1_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11657_8#20,2009211232,76,1092,74,2,19,14,13,2,1,6,16,290,290,0_131_0_0_1_1_0_0_0_0_0,0_131_0,#4bc75c,#cccd1a,#ae45cb
11657_4#37,2009211239,9,9939,63,299,21,14,5,36,12,17,1,234,2,0_74_0_16_105_14_1_0_0_0_0,0_74_0,#4c71e1,#d575ff,#fa77fa
11657_4#38,2009211240,89,1292,1292,1,28,20,13,9,12,94,170,235,143,0_196_1_1_27_0_0_0_0_0_0,0_196_1,#e08d31,#515de5,#81dc50
11657_8#21,2009211242,135,995,659,1,58,8,5,4,4,6,171,291,78,0_188_0_1_10_0_0_0_0_0_0,0_188_0,#4ec957,#95bf05,#6236b5
12291_5#79,2009211244,12,180,180,7,1,22,15,2,10,6,44,1232,117,0_232_1_2_103_1_0_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
11658_2#67,2009211248,4,199,199,8,4,14,13,14,4,17,13,452,73,0_15_4_0_407_0_0_0_0_0_0,0_15_4,#0094df,#2356db,#0170f7
11679_1#37,2009211258,10,230,230,12,22,14,19,2,17,6,4,508,77,0_15_1_4_7_0_0_0_0_0_0,0_15_1,#dbb532,#523bbb,#a8d539
12291_5#81,2009211267,19,433,433,1,58,17,1,4,1,18,36,1235,56,0_265_0_0_28_0_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11658_2#66,2009211285,1,2514,2514,4,202,1,16,19,67,6,521,451,6,0_58_0_12_140_0_0_0_0_0_0,0_58_0,#4867aa,#89bf11,#6054db
12291_4#61,2009211518,1,320,320,4,20,1,16,19,15,6,2,1159,6,0_58_0_12_124_1_37_2_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11511_8#36,2009211969,12,180,180,7,1,22,15,2,10,6,44,117,117,0_232_1_2_5_167_0_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
11679_1#33,2009212155,4,199,199,8,4,14,13,14,4,17,13,506,73,0_15_4_0_228_1_0_0_0_0_0,0_15_4,#0094df,#2356db,#0170f7
12291_5#59,2009212611,16,12703,12703,407,75,1,8,2,384,6,522,1217,5,0_15_0_8_45_0_0_0_0_0_0,0_15_0,#3d9945,#7345cb,#98c61a
12291_5#82,2009212646,15,191,191,8,1,17,9,2,1,6,76,1236,101,0_237_0_0_9_3_1_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11657_4#2,2009212654,15,191,191,8,1,17,9,2,1,6,76,228,101,0_237_0_0_10_16_2_0_2_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#83,2009212662,15,191,191,8,1,17,9,2,1,6,76,1237,101,0_237_0_0_10_13_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#84,2009212704,4,199,199,8,4,14,13,14,4,17,13,1238,73,0_15_4_0_419_0_0_0_0_0_0,0_15_4,#0094df,#2356db,#0170f7
11679_1#39,2009212708,12,180,180,7,1,22,15,2,10,6,44,510,117,0_232_1_2_5_15_54_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
12291_5#85,2009212726,15,191,191,8,1,17,9,2,1,6,76,1239,101,0_237_0_0_14_1_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#86,2009212730,15,191,191,8,1,17,9,2,1,6,76,1240,101,0_237_0_0_86_0_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#87,2009212732,19,433,433,1,58,17,1,4,1,18,36,1241,56,0_265_0_0_64_14_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11679_1#40,2009212769,15,191,191,8,1,17,9,2,1,6,76,511,101,0_237_0_0_1_0_0_9_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
12291_5#88,2009212786,12,180,180,7,1,22,15,2,10,6,44,1242,117,0_232_1_2_5_145_0_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
12838_1#73,2009212799,1,7915,320,4,480,1,16,19,15,6,2,1837,6,0_58_0_12_124_1_112_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11657_8#25,2009212800,1,320,320,4,20,1,16,19,15,6,2,293,6,0_58_0_12_124_4_4_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12299_1#1,2009212801,75,452,452,7,48,14,9,19,1,14,438,1336,676,0_270_0_0_5_1_0_0_0_0_0,0_270_0,#994e60,#72c732,#9e71fd
11658_2#62,2009212842,19,433,433,1,58,17,1,4,1,18,36,449,56,0_265_0_0_64_27_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
12299_1#2,2009212847,12,180,180,7,1,22,15,2,10,6,44,1344,117,0_232_1_2_5_133_0_0_0_0_0,0_232_1,#8cc14b,#8ac621,#9bbe00
12299_1#3,2009212848,19,433,433,1,58,17,1,4,1,18,36,1348,56,0_265_0_0_35_16_1_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11658_8#4,2009212862,3,60,60,2,3,1,5,23,18,10,523,484,63,0_75_0_7_1_0_0_0_0_0_0,0_75_0,#8854d2,#843ac0,#5b6df8
12299_1#4,2009212866,7,438,439,1,4,6,5,9,9,6,12,1353,92,0_57_0_34_79_10_0_0_0_0_0,0_57_0,#db75f1,#63c83b,#61ab00
11679_1#43,2009213981,16,66,66,2,1,1,8,2,4,6,26,512,5,0_15_0_8_90_0_2_0_0_0_0,0_15_0,#3d9945,#5cc73c,#98c61a
12299_1#6,2009213998,1,320,320,4,20,1,16,19,15,6,2,1368,6,0_58_0_12_315_0_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11657_4#42,2009214002,19,433,433,1,58,17,1,4,1,18,36,239,56,0_265_0_0_35_17_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11679_1#45,2009214014,6,162,156,7,8,14,11,10,1,6,0,513,35,0_169_0_1_153_0_0_0_0_0_0,0_169_0,#57a627,#9030b7,#b05fe8
12299_1#8,2009214030,1,320,320,4,20,1,16,19,15,6,2,1382,6,0_58_0_12_124_1_42_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11658_2#60,2009214041,1,1451,320,10,20,1,16,19,15,6,2,448,6,0_58_0_12_144_1_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
13710_1#49,2009214044,9,63,63,2,21,14,5,36,12,17,1,2947,2,0_74_0_16_4_0_0_0_0_0_0,0_74_0,#4c71e1,#d575ff,#fa77fa
11657_8#27,2009214056,4,199,199,8,4,14,13,14,4,17,13,295,73,0_15_4_0_421_0_0_0_0_0_0,0_15_4,#0094df,#2356db,#0170f7
11658_2#56,2009214077,19,433,433,1,58,17,1,4,1,18,36,444,56,0_265_0_0_64_18_0_0_0_0_0,0_265_0,#e52f66,#b3c608,#8364ee
11511_8#40,2009214084,1,320,320,4,20,1,16,19,15,6,2,122,6,0_58_0_12_327_0_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
12291_5#74,2009214102,49,392,392,7,31,14,5,1,1,6,32,1231,467,0_68_0_4_43_0_0_0_0_0_0,0_68_0,#958031,#d8c80c,#9a5ce5
12291_5#64,2009214150,98,1268,404,7,137,70,9,15,11,93,169,1222,126,0_370_0_5_6_0_0_0_0_0_0,0_370_0,#de443f,#3870fa,#49ba32
12291_5#65,2009214158,6,12704,12704,7,738,1,31,10,18,6,524,1223,35,0_169_0_10_7_0_0_0_0_0_0,0_169_0,#57a627,#00df73,#b05fe8
13710_1#55,2009214178,50,3060,113,7,4,21,46,1,1,10,24,2954,39,0_83_0_20_4_0_0_0_0_0_0,0_83_0,#c4a1e1,#a5069e,#249400
11658_2#76,2009214180,15,191,191,8,1,17,9,2,1,6,76,459,101,0_237_0_0_10_20_1_1_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
11658_2#75,2009214185,1,271,320,4,20,26,16,19,15,6,2,458,6,0_58_0_12_84_2_0_0_0_0_0,0_58_0,#4867aa,#6f3bc0,#6054db
11511_8#39,2009214547,15,191,191,8,1,17,9,2,1,6,76,120,101,0_237_0_0_85_0_0_0_0_0_0,0_237_0,#bd2c9b,#a1d738,#7eba0c
9950_1#35,2009214597,16,72,66,2,4,1,13,2,4,9,26,25522,5,0_15_0_3_23_0_0_0_0_0_0,0_15_0,#3d9945,#5cc73c,#98c61a
